Coin,TotalTrades,TotalPnL,AveragePnL,MedianPnL,MaximumPnL,MinimumPnL,TotalVolumeUSD,AverageTradeSize,WinRate,UniqueTraders
MEW,12,32.46208,2.705173333333333,1.591392,17.29784,0.0,1305.31,108.77583333333332,58.333333333333336,2
@100,4,27.627142,6.9067855,3.2514945,21.124153,0.0,42.67,10.6675,50.0,2
ARK,36,27.189288,0.755258,0.0006975,57.59879,-24.94332,10111.66,280.87944444444446,50.0,4
ALGO,7,18.36352,2.6233600000000004,0.0,10.64974,-0.2484,3867.61,552.5157142857144,42.857142857142854,2
@113,5,16.92622,3.385244,0.0,15.495707,0.0,42.28,8.456,40.0,2
@93,2,15.954796,7.977398,7.977398,15.954796,0.0,16.33,8.165,50.0,1
@36,3,15.663073,5.221024333333333,0.0,15.663073,0.0,16.1,5.366666666666667,33.33333333333333,2
@33,4,13.566929,3.39173225,0.1061205,13.354688,0.0,15.18,3.795,50.0,2
BOME,8,12.248102000000001,1.5310127500000001,0.0,21.37104,-9.994446,1319.38,164.9225,25.0,1
@39,2,12.238556,6.119278,6.119278,12.238556,0.0,12.57,6.285,50.0,1
@40,9,12.149683,1.3499647777777777,0.0,16.748319,-7.957751,413.94,45.99333333333333,22.22222222222222,2
kNEIRO,5,5.319437000000001,1.0638874,0.0,6.86052,-2.840308,882.27,176.454,40.0,1
REQ,19,4.947336,0.2603861052631579,0.077562,1.11801,0.0,2277.65,119.8763157894737,68.42105263157895,1
@20,39,4.738087999999999,0.12148943589743588,0.0,3.070771,0.0,1087.94,27.89589743589744,5.128205128205128,1
@117,4,4.631689,1.15792225,0.0,4.631689,0.0,14.77,3.6925,25.0,2
LISTA,2,4.46974,2.23487,2.23487,4.46974,0.0,1994.73,997.365,50.0,1
@116,5,1.722949,0.3445898,0.0,1.473232,0.0,11.85,2.37,40.0,3
@114,2,1.309077,0.6545385,0.6545385,1.309077,0.0,1.32,0.66,50.0,1
@3,23,0.462514,0.020109304347826085,0.0,0.46251,0.0,575.81,25.035217391304347,8.695652173913043,1
MAV,2,0.0189,0.00945,0.00945,0.0189,0.0,21.049999999999997,10.524999999999999,50.0,1
@32,1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,1
@23,34,0.0,0.0,0.0,0.0,0.0,5218.84,153.49529411764706,0.0,1
@17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
@30,1,0.0,0.0,0.0,0.0,0.0,0.69,0.69,0.0,1
@45,1,0.0,0.0,0.0,0.0,0.0,0.54,0.54,0.0,1
@123,163,0.0,0.0,0.0,0.0,0.0,400024.33,2454.136993865031,0.0,1
@11,1,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,1
@12,3,0.0,0.0,0.0,0.0,0.0,8.91,2.97,0.0,2
@25,1,0.0,0.0,0.0,0.0,0.0,0.65,0.65,0.0,1
@28,2,0.0,0.0,0.0,0.0,0.0,1.74,0.87,0.0,2
@34,2,0.0,0.0,0.0,0.0,0.0,0.81,0.405,0.0,2
@21,1,0.0,0.0,0.0,0.0,0.0,0.94,0.94,0.0,1
@15,2,0.0,0.0,0.0,0.0,0.0,1.11,0.555,0.0,2
@19,2,0.0,0.0,0.0,0.0,0.0,0.81,0.405,0.0,2
@18,1,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,1
@14,17,0.0,0.0,0.0,0.0,0.0,849.28,49.957647058823525,0.0,2
@42,1,0.0,0.0,0.0,0.0,0.0,0.74,0.74,0.0,1
@6,1,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,1
@7,1,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,1
@61,1,0.0,0.0,0.0,0.0,0.0,0.62,0.62,0.0,1
@48,1,0.0,0.0,0.0,0.0,0.0,0.68,0.68,0.0,1
@44,3,0.0,0.0,0.0,0.0,0.0,0.77,0.25666666666666665,0.0,3
@46,3,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.19000000000000003,0.0,3
@68,1,0.0,0.0,0.0,0.0,0.0,10.09,10.09,0.0,1
@86,1,0.0,0.0,0.0,0.0,0.0,10.17,10.17,0.0,1
@78,15,0.0,0.0,0.0,0.0,0.0,6550.37,436.6913333333333,0.0,1
@24,3,-0.002936,-0.0009786666666666665,0.0,0.0,-0.002936,2.71,0.9033333333333333,0.0,2
@16,4,-0.060429,-0.01510725,0.0,0.0,-0.060429,35.9,8.975,0.0,2
@10,4,-0.063484,-0.015871,0.0,0.0,-0.063484,37.31,9.3275,0.0,2
@29,6,-0.078374,-0.013062333333333334,-0.0055505,0.0,-0.044849,23.73,3.955,0.0,2
@13,3,-0.12379,-0.04126333333333333,0.0,0.0,-0.12379,52.86000000000001,17.62,0.0,1
@26,10,-0.25801799999999997,-0.025801799999999996,-0.0234365,0.0,-0.061149,24.62,2.462,0.0,2
@2,5,-0.907946,-0.1815892,0.0,0.0,-0.907946,999.88,199.976,0.0,4
IOTA,7,-2.454844,-0.350692,0.0,0.0,-1.948118,12495.93,1785.1328571428571,0.0,1
MERL,2,-3.17364,-1.58682,-1.58682,0.0,-3.17364,96.53,48.265,0.0,1
ENS,4,-7.121359999999999,-1.7803399999999998,-0.5194265,0.0,-6.082507,20014.59,5003.6475,0.0,1
BNT,10,-17.60528,-1.760528,-0.57873,9.56039,-13.57431,5828.41,582.841,20.0,1
TON,30,-18.09871,-0.6032903333333334,-0.08814449999999999,5.069246,-11.102798,53812.28,1793.7426666666665,13.333333333333334,2
@63,2,-20.663546,-10.331773,-10.331773,0.0,-20.663546,59.95,29.975,0.0,1
